code,display_name,line_item_description,kind,type_code,category_code,unit_type_ref,unit_cost,buy_cost,markup_type,markup_value,tax_rate,pricing_mode,fixed_unit_cost,external_reference
MAT-ELEC-GPO-01,GPO double power outlet,Supply and install double gang general purpose outlet including back box and plate,primitive,material,electrical,ea,21.60,18.00,percent,20,0.10,,,
MAT-ELEC-SW-1-02,Single light switch,Supply and install single gang light switch including back box and cover plate,primitive,material,electrical,ea,25.80,21.50,percent,20,0.10,,,
MAT-ELEC-SW-2-03,Two-way light switch,Supply and install two-way light switch wired for stair or multi-entry control,primitive,material,electrical,ea,30.00,25.00,percent,20,0.10,,,
MAT-ELEC-LED-DOWN-04,LED downlight,Supply and install LED recessed downlight cut into ceiling with fire-rated boot where required,primitive,material,electrical,ea,34.20,28.50,percent,20,0.10,,,
MAT-ELEC-SMK-ALARM-05,Smoke alarm,Supply and install hard-wired photoelectric smoke alarm to current standard,primitive,material,electrical,ea,38.40,32.00,percent,20,0.10,,,
MAT-ELEC-RCD-06,RCD safety switch,Supply and install residual current device on sub-circuit,primitive,material,electrical,ea,42.60,35.50,percent,20,0.10,,,
MAT-ELEC-CABLE-2.5-07,2.5mm TPS cable,Supply 2.5mm twin and earth cable per metre for power circuits,primitive,material,electrical,ea,46.80,39.00,percent,20,0.10,,,
MAT-ELEC-CABLE-1.5-08,1.5mm TPS cable,Supply 1.5mm twin and earth cable per metre for lighting circuits,primitive,material,electrical,ea,51.00,42.50,percent,20,0.10,,,
MAT-ELEC-CB-09,Circuit breaker,Supply and install single pole circuit breaker in switchboard,primitive,material,electrical,ea,55.20,46.00,percent,20,0.10,,,
MAT-ELEC-METER-BOX-10,Meter box enclosure,Supply meter box enclosure and labelling for reconnection works,primitive,material,electrical,ea,59.40,49.50,percent,20,0.10,,,
MAT-ELEC-FAN-EX-11,Exhaust fan,Supply and install ceiling or wall exhaust fan with duct to external grille,primitive,material,electrical,ea,63.60,53.00,percent,20,0.10,,,
MAT-ELEC-HWS-ELE-12,Electric HWS element,Supply and install electric hot water service element and thermostat,primitive,material,electrical,ea,67.80,56.50,percent,20,0.10,,,
MAT-ELEC-DATA-PT-13,Data point,Supply and install single RJ45 data outlet and patch lead termination,primitive,material,electrical,ea,72.00,60.00,percent,20,0.10,,,
MAT-ELEC-CEILING-FAN-14,Ceiling fan,Supply and install ceiling fan with wall controller on existing circuit,primitive,material,electrical,ea,76.20,63.50,percent,20,0.10,,,
MAT-ELEC-FLOOD-LGT-15,External flood light,Supply and install weatherproof LED floodlight with PIR sensor,primitive,material,electrical,ea,80.40,67.00,percent,20,0.10,,,
MAT-PLUM-TAP-MIX-01,Basin mixer tap,Supply and install basin mixer tap including flex hoses and connections,primitive,material,plumbing,ea,19.20,16.00,percent,20,0.10,,,
MAT-PLUM-TAP-SINK-02,Sink mixer tap,Supply and install kitchen sink mixer with flexible connections,primitive,material,plumbing,ea,23.40,19.50,percent,20,0.10,,,
MAT-PLUM-TOILET-SUITE-03,Toilet suite,Supply and install close coupled toilet suite including pan collar and cistern,primitive,material,plumbing,ea,27.60,23.00,percent,20,0.10,,,
MAT-PLUM-CISTERN-04,Toilet cistern,Supply and replace toilet cistern including inlet and outlet valve set,primitive,material,plumbing,ea,31.80,26.50,percent,20,0.10,,,
MAT-PLUM-SHOWER-HEAD-05,Shower head set,Supply and install shower rose and arm with water saving rating,primitive,material,plumbing,ea,36.00,30.00,percent,20,0.10,,,
MAT-PLUM-SHOWER-SCREEN-06,Shower screen,Supply and install framed shower screen to standard opening,primitive,material,plumbing,ea,40.20,33.50,percent,20,0.10,,,
MAT-PLUM-FLEX-HOSE-07,Flexible water hose,Supply and install stainless braided flex hose connection,primitive,material,plumbing,ea,44.40,37.00,percent,20,0.10,,,
MAT-PLUM-PTR-VALVE-08,PTR valve,Supply and replace pressure temperature relief valve on hot water service,primitive,material,plumbing,ea,48.60,40.50,percent,20,0.10,,,
MAT-PLUM-PIPE-COP-15-09,15mm copper pipe,Supply 15mm copper tube per metre for water reticulation,primitive,material,plumbing,ea,52.80,44.00,percent,20,0.10,,,
MAT-PLUM-PIPE-COP-20-10,20mm copper pipe,Supply 20mm copper tube per metre for main runs,primitive,material,plumbing,ea,57.00,47.50,percent,20,0.10,,,
MAT-PLUM-PIPE-PVC-50-11,50mm PVC waste,Supply 50mm PVC waste pipe per metre including fittings allowance,primitive,material,plumbing,ea,61.20,51.00,percent,20,0.10,,,
MAT-PLUM-PIPE-PVC-100-12,100mm sewer pipe,Supply 100mm PVC sewer pipe per metre for underground repair,primitive,material,plumbing,ea,65.40,54.50,percent,20,0.10,,,
MAT-PLUM-FLOOR-WASTE-13,Floor waste grate,Supply and install chrome floor waste grate and trap connection,primitive,material,plumbing,ea,69.60,58.00,percent,20,0.10,,,
MAT-PLUM-SINK-BL-14,Stainless sink,Supply and install single bowl stainless steel sink with clips,primitive,material,plumbing,ea,73.80,61.50,percent,20,0.10,,,
MAT-PLUM-DISHWASHER-VALVE-15,Dishwasher tap,Supply and install mini stop and dishwasher connection point,primitive,material,plumbing,ea,78.00,65.00,percent,20,0.10,,,
MAT-PLUM-HWS-UNIT-16,Hot water service,Supply and install electric storage hot water unit including valves,primitive,material,plumbing,ea,82.20,68.50,percent,20,0.10,,,
MAT-PLUM-GAS-COOKTOP-17,Gas cooktop conn.,Reconnect gas cooktop with new flex and isolation valve certification,primitive,material,plumbing,ea,86.40,72.00,percent,20,0.10,,,
MAT-PLUM-WATER-HAMMER-18,Water hammer arrestor,Supply and install water hammer arrestor on quick closing valve line,primitive,material,plumbing,ea,19.20,16.00,percent,20,0.10,,,
MAT-PLUM-BACKFLOW-19,Backflow preventer,Supply and test backflow prevention device on mains connection,primitive,material,plumbing,ea,23.40,19.50,percent,20,0.10,,,
MAT-PLUM-TMV-20,TMV mixing valve,Supply and install thermostatic mixing valve for scald protection,primitive,material,plumbing,ea,27.60,23.00,percent,20,0.10,,,
MAT-PLAS-GYP-10-01,Gyprock 10mm sheet,Supply 10mm plasterboard sheet 2400×1200 for wall or ceiling lining,primitive,material,plastering,ea,21.60,18.00,percent,20,0.10,,,
MAT-PLAS-GYP-13-02,Gyprock 13mm sheet,Supply 13mm plasterboard sheet for wet area or fire rating,primitive,material,plastering,ea,25.80,21.50,percent,20,0.10,,,
MAT-PLAS-GYP-MR-03,Moisture resistant board,Supply moisture resistant plasterboard for bathroom and laundry,primitive,material,plastering,ea,30.00,25.00,percent,20,0.10,,,
MAT-PLAS-GYP-FR-04,Fire rated board,Supply fire rated plasterboard to specified FRL requirement,primitive,material,plastering,ea,34.20,28.50,percent,20,0.10,,,
MAT-PLAS-CORNER-BEAD-05,Metal corner bead,Supply and fix metal corner bead to external plasterboard angles,primitive,material,plastering,ea,38.40,32.00,percent,20,0.10,,,
MAT-PLAS-STOP-BEAD-06,Stop bead,Supply and fix stop bead at plasterboard termination junctions,primitive,material,plastering,ea,42.60,35.50,percent,20,0.10,,,
MAT-PLAS-JOINT-CMP-07,Joint compound,Supply pre-mixed joint compound for taping and finishing coats,primitive,material,plastering,ea,46.80,39.00,percent,20,0.10,,,
MAT-PLAS-PAPER-TAPE-08,Paper joint tape,Supply paper tape for plasterboard joint treatment,primitive,material,plastering,ea,51.00,42.50,percent,20,0.10,,,
MAT-PLAS-INSULATION-BAT-09,Ceiling insulation bat,Supply and install ceiling insulation batts to required R-value,primitive,material,plastering,ea,55.20,46.00,percent,20,0.10,,,
MAT-PLAS-INSULATION-WALL-10,Wall insulation bat,Supply and install wall cavity insulation batts,primitive,material,plastering,ea,59.40,49.50,percent,20,0.10,,,
MAT-PLAS-SUSP-CEIL-11,Suspended ceiling grid,Supply suspended ceiling grid components per square metre,primitive,material,plastering,ea,63.60,53.00,percent,20,0.10,,,
MAT-PLAS-CEIL-TILE-12,Ceiling tile,Supply acoustic ceiling tile to match existing grid system,primitive,material,plastering,ea,67.80,56.50,percent,20,0.10,,,
MAT-PLAS-RENDER-BAG-13,Render mix bag,Supply bagged cement render for patch repairs to masonry,primitive,material,plastering,ea,72.00,60.00,percent,20,0.10,,,
MAT-PLAS-TEXT-COAT-14,Texture coat compound,Supply texture coat for stipple or orange peel finish match,primitive,material,plastering,ea,76.20,63.50,percent,20,0.10,,,
MAT-PLAS-TIMBER-BAT-15,Ceiling batten,Supply timber ceiling battens for strap and line set down,primitive,material,plastering,ea,80.40,67.00,percent,20,0.10,,,
MAT-CARP-TIMBER-90-01,90×45 framing timber,Supply 90×45 MGP10 framing timber per metre for wall framing,primitive,material,carpentry,ea,20.40,17.00,percent,20,0.10,,,
MAT-CARP-TIMBER-70-02,70×35 battens,Supply 70×35 battens per metre for ceiling or cladding fixings,primitive,material,carpentry,ea,24.60,20.50,percent,20,0.10,,,
MAT-CARP-TIMBER-140-03,140×45 floor joist,Supply 140×45 floor joist timber per metre for floor repair,primitive,material,carpentry,ea,28.80,24.00,percent,20,0.10,,,
MAT-CARP-PLY-12-04,12mm structural ply,Supply 12mm structural plywood sheet for subfloor or bracing,primitive,material,carpentry,ea,33.00,27.50,percent,20,0.10,,,
